"","X10.1","X20.1","X50.1","X70.1","X100.1","X200.1","X500.1","X700.1","X1000.1","X2000.1"
"10",0.0224571825927496,0.0184166769867519,0.0132210475157802,0.0128903148251412,0.0103247971029656,0.00915033848520246,0.00891616562787114,0.00887505129950361,0.00875380124790646,0.00864977215040974
"20",0.0202278654173902,0.0140491762611021,0.00964420103463614,0.00813122466261241,0.00756308165441827,0.00638850929352667,0.00577225395961157,0.00563840348872875,0.00559664719715735,0.00539246346309652
"50",0.0124245019910508,0.00733622693866868,0.00631674842637655,0.00557036016062124,0.005164984022257,0.00407744349168321,0.00372222893356825,0.00355133252036192,0.00334664436804494,0.00325230274348803
"70",0.0118781692553087,0.00827180280190638,0.00560789276912882,0.00519764521155949,0.00477069079716816,0.00380414425990507,0.00320315473651621,0.00309235815665312,0.00302194713305736,0.00285221652696148
"100",0.0115481301556128,0.00735775942733904,0.00470061902870039,0.00442711684538302,0.00404870243290342,0.00329735089942494,0.00270502420927373,0.00270927604498537,0.00259858100516545,0.00243443819471708
"200",0.0111468709976418,0.00742982855166788,0.00459642864958831,0.00399971817904708,0.00353618396331715,0.00278640450004206,0.00229633183745421,0.00223194689225158,0.00210987958846484,0.00196735077064028
"500",0.0098564455611606,0.00570202457627337,0.00367462635100208,0.00321356439902344,0.00299939807483497,0.00232260502340088,0.0018889267316114,0.00177047490381067,0.00172209268743165,0.00158134083335604
"700",0.00913414685835334,0.00583144526196067,0.00350685422198191,0.00317052729505148,0.00274571435435473,0.00217635867703806,0.0017785387477929,0.00172209268743165,0.00155982383862133,0.00145450852848707
"1000",0.00916998095654256,0.00555004542853085,0.00368106618290924,0.00303084736275272,0.00266983110242927,0.00215979235836847,0.00172209268743165,0.0015482567283304,0.00152571540610586,0.00136724391641873
"2000",0.00865368209390245,0.00534670269580867,0.00338315081013785,0.00292482789235092,0.00256404289543683,0.00197158131611161,0.00156658088074169,0.00151326034478757,0.00134758564187657,0.0012425674297984
